t_ff,t_rel,phase,e_meas,ready,n_hist,span_s,gap_s,vz_vis,rate_auth,certified_det,feat_cert,feat_age,R,tz,admit_ok,e_cross,would_capture,owner,vz_cmd_if_term
2.4162116,6.5846407,commit,-0.45,True,24,0.895686149597168,0.09737753868103027,-0.0,1.0,True,certified,0.01320219999999983,3.1960261111479085,2.886488271200529,False,-0.45,False,alt,-0.31179756002461706
2.4364388,6.6048679,commit,-0.45,True,24,0.895686149597168,0.09737753868103027,-0.0,1.0,True,certified,0.03342939999999972,3.169160446584877,2.866392823729746,False,-0.45,False,alt,-0.3139834821484521
2.4560588,6.6244879,commit,-0.45,True,25,0.9304599761962891,0.09737753868103027,-0.0,1.0,True,certified,0.013805700000000254,3.1420571355507247,2.8392209525213423,False,-0.45,False,alt,-0.31698836231846056
2.4764687,6.6448978,commit,-0.45,True,26,0.9659051895141602,0.09737753868103027,-0.0,1.0,True,certified,0.006022900000000053,3.0828260249819084,2.7987258032482565,False,-0.45,False,alt,-0.32157491060947885
2.4961354,6.6645645,commit,-0.45,True,26,0.9659051895141602,0.09737753868103027,-0.0,1.0,True,certified,0.0256896000000002,3.049965825324401,2.7799160204560702,False,-0.45,False,alt,-0.32375078720987654
2.5160778,6.6845069,commit,-0.45,True,27,1.0000600814819336,0.09737753868103027,-0.0,1.0,True,certified,0.01034259999999998,2.9626490490829402,2.6972049634568735,False,-0.45,False,alt,-0.333678757155524
2.5364728,6.7049019,commit,-0.45,True,28,1.0277740955352783,0.09737753868103027,-0.0,1.0,True,certified,0.0025167999999999857,2.9178491820341628,2.690296157192586,False,-0.45,False,alt,-0.33453565979857774
2.5565551,6.7249842,commit,-0.45,True,28,1.0277740955352783,0.09737753868103027,-0.0,1.0,True,certified,0.022599100000000316,2.8896148357817513,2.6725874480155962,False,-0.45,False,alt,-0.3367523111987421
2.5762136,6.7446427,commit,-0.45,True,29,1.0627186298370361,0.09737753868103027,-0.0,1.0,True,certified,0.00722580000000006,2.831114436755365,2.640055495762521,False,-0.45,False,alt,-0.3409019247680834
2.5964116,6.7648407,commit,-0.45,True,29,1.0627186298370361,0.09737753868103027,-0.0,1.0,True,certified,0.02742380000000022,2.766701104236937,2.5915477785100274,False,-0.45,False,alt,-0.34728281201801414
