row_key,frame_id,feature_ts_ns,tick,ts_s,certified_full,v_full_raw_mps,response_status,history_samples,fresh_tail_samples,recent_samples,fresh_tail_span_s,max_gap_s,last_sample_cap
20260719T201851-50f9dcc8|frame=364|feature_ts_ns=1784492341012002900,364,1784492341012002900,427,8.5434302,True,-0.0,VALID,104,11,11,0.3342756999999992,0.12,12
20260719T201851-50f9dcc8|frame=365|feature_ts_ns=1784492341046718500,365,1784492341046718500,429,8.5779801,True,-0.0,VALID,105,12,12,0.3688255999999992,0.12,12
20260719T201851-50f9dcc8|frame=366|feature_ts_ns=1784492341074623300,366,1784492341074623300,430,8.6044789,True,-0.0,VALID,106,13,12,0.365813300000001,0.12,12
20260719T201851-50f9dcc8|frame=367|feature_ts_ns=1784492341109183000,367,1784492341109183000,432,8.6409715,True,-0.0,VALID,107,14,12,0.3688823999999986,0.12,12
20260719T201851-50f9dcc8|frame=368|feature_ts_ns=1784492341143906600,368,1784492341143906600,434,8.674036,True,-0.0,VALID,108,15,12,0.36149959999999837,0.12,12
20260719T201851-50f9dcc8|frame=369|feature_ts_ns=1784492341178543900,369,1784492341178543900,435,8.7090913,True,-0.0,VALID,109,16,12,0.36708929999999995,0.12,12
20260719T201851-50f9dcc8|frame=411|feature_ts_ns=1784492342574422400,411,1784492342574422400,505,10.1073614,True,,ABSENT_RESPONSE,110,1,1,0.0,0.12,12
20260719T201851-50f9dcc8|frame=412|feature_ts_ns=1784492342609110300,412,1784492342609110300,507,10.1404644,True,,ABSENT_RESPONSE,111,2,2,0.03310300000000055,0.12,12
20260719T201851-50f9dcc8|frame=414|feature_ts_ns=1784492342679047200,414,1784492342679047200,511,10.2111853,True,,ABSENT_RESPONSE,112,3,3,0.10382390000000008,0.12,12
20260719T201851-50f9dcc8|frame=415|feature_ts_ns=1784492342713399500,415,1784492342713399500,512,10.245077,True,-0.0,VALID,113,4,4,0.13771559999999994,0.12,12
20260719T201851-50f9dcc8|frame=416|feature_ts_ns=1784492342741039200,416,1784492342741039200,514,10.2724143,True,-0.0,VALID,113,4,4,0.13771559999999994,0.12,12
20260719T201851-50f9dcc8|frame=417|feature_ts_ns=1784492342775966100,417,1784492342775966100,515,10.3054367,True,-0.0,VALID,113,4,4,0.13771559999999994,0.12,12
20260719T201851-50f9dcc8|frame=418|feature_ts_ns=1784492342810562900,418,1784492342810562900,517,10.3421382,True,-0.0,VALID,113,4,4,0.13771559999999994,0.12,12
20260719T201851-50f9dcc8|frame=419|feature_ts_ns=1784492342845108100,419,1784492342845108100,519,10.3761657,True,-0.0,VALID,113,4,4,0.13771559999999994,0.12,12
20260719T201851-50f9dcc8|frame=420|feature_ts_ns=1784492342880032700,420,1784492342880032700,520,10.4099582,True,-0.0,VALID,113,4,4,0.13771559999999994,0.12,12
20260719T201851-50f9dcc8|frame=421|feature_ts_ns=1784492342907919900,421,1784492342907919900,522,10.4381997,True,,ABSENT_RESPONSE,114,1,1,0.0,0.12,12
20260719T201851-50f9dcc8|frame=422|feature_ts_ns=1784492342942628000,422,1784492342942628000,524,10.472541,True,,ABSENT_RESPONSE,115,2,2,0.034341299999999464,0.12,12
