slice,frame_id,cyan_frac,h_mean,s_mean,v_mean,gate_hit,gate_dist_px,n_gates_proxy
r2_f3,39,0.209774,98.55,206.8,153.1,True,8.6,1
r2_f3,39,0.209774,98.55,206.8,153.1,True,8.6,1
r2_f3,40,0.201211,98.70,204.4,146.0,True,9.1,1
r2_f3,40,0.201211,98.70,204.4,146.0,True,9.1,1
r2_f3,40,0.201211,98.70,204.4,146.0,True,9.1,1
r2_f3,40,0.201211,98.70,204.4,146.0,True,9.1,1
r2_f3,40,0.201211,98.70,204.4,146.0,True,9.1,1
r2_f3,40,0.201211,98.70,204.4,146.0,True,9.1,1
r2_f3,40,0.201211,98.70,204.4,146.0,True,9.1,1
r2_f3,40,0.201211,98.70,204.4,146.0,True,9.1,1
r2_f3,41,0.189562,98.73,201.0,136.0,True,9.0,1
r2_f3,41,0.189562,98.73,201.0,136.0,True,9.0,1
r2_f3,41,0.189562,98.73,201.0,136.0,True,9.0,1
r2_f3,41,0.189562,98.73,201.0,136.0,True,9.0,1
r2_f3,41,0.189562,98.73,201.0,136.0,True,9.0,1
r2_f3,41,0.189562,98.73,201.0,136.0,True,9.0,1
r2_f3,41,0.189562,98.73,201.0,136.0,True,9.0,1
r2_f3,41,0.189562,98.73,201.0,136.0,True,9.0,1
r2_f3,41,0.189562,98.73,201.0,136.0,True,9.0,1
r2_f3,42,0.179744,98.85,198.8,129.9,True,9.4,1
r2_f3,42,0.179744,98.85,198.8,129.9,True,9.4,1
r2_f3,42,0.179744,98.85,198.8,129.9,True,9.4,1
r2_f3,42,0.179744,98.85,198.8,129.9,True,9.4,1
r2_f3,42,0.179744,98.85,198.8,129.9,True,9.4,1
r2_f3,42,0.179744,98.85,198.8,129.9,True,9.4,1
r2_f3,42,0.179744,98.85,198.8,129.9,True,9.4,1
r2_f3,42,0.179744,98.85,198.8,129.9,True,9.4,1
r2_f3,43,0.170516,98.90,196.6,124.4,True,9.1,1
r2_f3,43,0.170516,98.90,196.6,124.4,True,9.1,1
r2_f3,43,0.170516,98.90,196.6,124.4,True,9.1,1
