flight,flight_id,frame_id,mono_ns,t_rel_s,feature_ts_ns,topic,phase,commit,source,feature_mode,cert_status,range_z_m,range_norm_m,x_m,y_down_m,gate_age_s,center_x_px,y_top_px,span_px,span_x_range,e_meas,e_reject,level_pitch_rad,level_roll_rad,image_w,image_h,det_confidence,det_cert_status,cohort,setpoint_speed_xy_mps,sweep,fed,source_valid,active_sample,observer_ready,ready_legacy,shadow_owner,shadow_capture,shadow_phase,active_source,hist_n,hist_span_s,hist_gap_s,admission_score,admission_mu,admission_sigma,admission_h_tail_s,admission_vz_vis_mps,admission_e_cross_m,sigma_induced_abort,oracle_e_z,oracle_disarmed,jump_grace_consumed,applied_e_z,transition_id
F2,20260720T071112-cd18c5fb,310,208150470606100,6.9985614,1784531480361406400,feature_side,commit,True,tracker_parallel,SIDE_PAIR,probation,1.3790571721205138,1.7324278978709382,0.02374008284986481,-1.0483053685881663,0.0,291.5479921654034,11.81265035390637,333.70728219339884,460.2014208976509,-0.11114987212615904,ok,-0.31070304002823274,0.00025602409079155774,640,360,0.5,probation,primary_f2_f4,1.3758991487328323,baseline,True,False,False,False,False,term,False,position,FULL_QUAD,13,0.39569664001464844,0.03491020202636719,,,,,,,False,-0.1198992714440753,True,False,-0.1198992714440753,
F2,20260720T071112-cd18c5fb,311,208150504669700,7.032625,1784531480395970000,feature,commit,True,detector,FULL_QUAD,certified,1.316321586403276,1.6522460238391528,0.03278690130718806,-0.9980678451707206,0.0,260.0,5.0,274.18242102658587,360.91223940960646,0.12608639114647818,ok,-0.31070304002823274,0.00025602409079155774,640,360,1.0,certified,primary_f2_f4,1.3719666321851611,baseline,True,True,True,False,False,term,False,position,FULL_QUAD,14,0.43026018142700195,0.03491020202636719,,,,,,,False,-0.1198992714440753,True,False,-0.1198992714440753,
F2,20260720T071112-cd18c5fb,311,208150504669700,7.032625,1784531480395970000,feature_side,commit,True,tracker_parallel,SIDE_PAIR,probation,1.316321586403276,1.6522460238391528,0.03278690130718806,-0.9980678451707206,0.0,294.0849884007801,8.57038928120635,351.75905747487025,463.02804056704235,-0.09439205421990662,ok,-0.31070304002823274,0.00025602409079155774,640,360,0.5,probation,primary_f2_f4,1.3719666321851611,baseline,True,False,False,False,False,term,False,position,FULL_QUAD,14,0.43026018142700195,0.03491020202636719,,,,,,,False,-0.1198992714440753,True,False,-0.1198992714440753,
F2,20260720T071112-cd18c5fb,312,208150539550100,7.0675054,1784531480430727000,feature,commit,True,detector,FULL_QUAD,certified,1.2654288899954418,1.6053468412541072,0.03738311009137784,-0.9871325686904164,0.0,264.0,2.0,282.02836736753983,356.8868438651326,0.146112794883707,ok,-0.31070304002823274,0.00025602409079155774,640,360,1.0,certified,primary_f2_f4,1.3568881592417301,baseline,True,True,True,False,False,term,False,position,FULL_QUAD,15,0.46501708030700684,0.03491020202636719,,,,,,,False,-0.1198992714440753,True,False,-0.1198992714440753,
F2,20260720T071112-cd18c5fb,312,208150539550100,7.0675054,1784531480430727000,feature_side,commit,True,tracker_parallel,SIDE_PAIR,probation,1.2654288899954418,1.6053468412541072,0.03738311009137784,-0.9871325686904164,0.0,297.5326579135199,6.268706977768041,370.8260918560991,469.2540497988112,-0.09886078290559533,ok,-0.31070304002823274,0.00025602409079155774,640,360,0.5,probation,primary_f2_f4,1.3568881592417301,baseline,True,False,False,False,False,term,False,position,FULL_QUAD,15,0.46501708030700684,0.03491020202636719,,,,,,,False,-0.1198992714440753,True,False,-0.1198992714440753,
F2,20260720T071112-cd18c5fb,313,208150573979400,7.1019347,1784531480465555400,feature,commit,True,detector,FULL_QUAD,certified,1.194004793393273,1.543267160575786,0.018503090597060318,-0.9775907722068031,0.0,262.0,0.0,296.0,353.4254188444088,0.1378038544011053,ok,-0.31070304002823274,0.00025602409079155774,640,360,1.0,certified,primary_f2_f4,1.3441643683922997,baseline,True,True,True,False,False,term,False,position,FULL_QUAD,16,0.4998455047607422,0.03491020202636719,,,,,,,False,-0.1198992714440753,True,False,-0.1198992714440753,
F2,20260720T071112-cd18c5fb,313,208150573979400,7.1019347,1784531480465555400,feature_side,commit,True,tracker_parallel,SIDE_PAIR,none,1.194004793393273,1.543267160575786,0.018503090597060318,-0.9775907722068031,0.0,295.8624055009232,1.3119175618997119,393.94198878931195,470.36862293331745,,not_certified,-0.31070304002823274,0.00025602409079155774,640,360,0.5,none,primary_f2_f4,1.3441643683922997,baseline,True,False,False,False,False,term,False,position,FULL_QUAD,16,0.4998455047607422,0.03491020202636719,,,,,,,False,-0.1198992714440753,True,False,-0.1198992714440753,
F2,20260720T071112-cd18c5fb,314,208150602000200,7.1299555,1784531480493214800,feature,commit,True,detector,FULL_QUAD,certified,1.1395733864973996,1.49563532257951,-0.003946212552818218,-0.9686495456773059,0.0,260.0,0.0,314.0,357.82604336018346,0.08857909091422259,ok,-0.31070304002823274,0.00025602409079155774,640,360,1.0,certified,primary_f2_f4,1.3191544593844522,baseline,True,True,True,False,False,term,False,position,FULL_QUAD,17,0.5275046825408936,0.03491020202636719,,,,,,,False,-0.1198992714440753,True,False,-0.1198992714440753,
F2,20260720T071112-cd18c5fb,314,208150602000200,7.1299555,1784531480493214800,feature_side,commit,True,tracker_parallel,SIDE_PAIR,none,1.1395733864973996,1.49563532257951,-0.003946212552818218,-0.9686495456773059,0.0,296.4417152593271,1.5425756137927955,415.9080420862688,473.9577359917523,,not_certified,-0.31070304002823274,0.00025602409079155774,640,360,0.5,none,primary_f2_f4,1.3191544593844522,baseline,True,False,False,False,False,term,False,position,FULL_QUAD,17,0.5275046825408936,0.03491020202636719,,,,,,,False,-0.1198992714440753,True,False,-0.1198992714440753,
F2,20260720T071112-cd18c5fb,315,208150638869800,7.1668251,1784531480528160300,feature,commit,True,detector,FULL_QUAD,certified,1.064305018103599,1.4338838060745474,-0.023989945298364006,-0.9605738286497867,0.0,263.0,0.0,336.0,357.6064860828092,0.03519142721221186,ok,-0.31070304002823274,0.00025602409079155774,640,360,1.0,certified,primary_f2_f4,1.2862567821397302,baseline,True,True,True,False,False,term,False,position,FULL_QUAD,18,0.5624504089355469,0.03494572639465332,,,,,,,False,-0.1198992714440753,True,False,-0.1198992714440753,
