approach_id,cluster_id,flight,flight_id,anchor_frame_id,age_s,age_bin,r_v_mps,rv2_m2ps2,auth_at_latch,n_full_at_latch,span_full_at_latch_s
20260717T095722-a560c093:A1,20260717T095722-a560c093:A1,A048,20260717T095722-a560c093,261,0.4,0p40-0p50,0.0,0.0,1.0,11,0.3333718776702881
20260717T095722-a560c093:A1,20260717T095722-a560c093:A1,A048,20260717T095722-a560c093,261,0.5,gt0p50,0.0,0.0,1.0,11,0.3333718776702881
20260717T095722-a560c093:A1,20260717T095722-a560c093:A1,A048,20260717T095722-a560c093,267,0.1,0p10-0p20,0.0,0.0,0.6724095344543458,6,0.33620476722717285
20260717T095722-a560c093:A1,20260717T095722-a560c093:A1,A048,20260717T095722-a560c093,267,0.2,0p20-0p30,0.0,0.0,0.6724095344543458,6,0.33620476722717285
20260717T095722-a560c093:A1,20260717T095722-a560c093:A1,A048,20260717T095722-a560c093,267,0.3,0p30-0p40,0.0,0.0,0.6724095344543458,6,0.33620476722717285
20260717T095722-a560c093:A1,20260717T095722-a560c093:A1,A048,20260717T095722-a560c093,267,0.4,0p40-0p50,0.0,0.0,0.6724095344543458,6,0.33620476722717285
20260717T095722-a560c093:A1,20260717T095722-a560c093:A1,A048,20260717T095722-a560c093,267,0.5,gt0p50,0.0,0.0,0.6724095344543458,6,0.33620476722717285
20260717T095722-a560c093:A1,20260717T095722-a560c093:A1,A048,20260717T095722-a560c093,280,0.1,0p10-0p20,0.0,0.0,0.13261699676513672,4,0.09946274757385254
20260717T095722-a560c093:A1,20260717T095722-a560c093:A1,A048,20260717T095722-a560c093,281,0.1,0p10-0p20,0.0,0.0,0.22376100222269696,5,0.13425660133361816
20260717T101837-7223cc0c:A1,20260717T101837-7223cc0c:A1,A051,20260717T101837-7223cc0c,269,0.1,0p10-0p20,0.0,0.0,0.12480958302815758,4,0.09360718727111816
20260717T101837-7223cc0c:A1,20260717T101837-7223cc0c:A1,A051,20260717T101837-7223cc0c,269,0.2,0p20-0p30,0.0,0.0,0.12480958302815758,4,0.09360718727111816
20260717T101837-7223cc0c:A1,20260717T101837-7223cc0c:A1,A051,20260717T101837-7223cc0c,269,0.3,0p30-0p40,0.0,0.0,0.12480958302815758,4,0.09360718727111816
20260717T101837-7223cc0c:A1,20260717T101837-7223cc0c:A1,A051,20260717T101837-7223cc0c,269,0.4,0p40-0p50,0.0,0.0,0.12480958302815758,4,0.09360718727111816
20260717T101837-7223cc0c:A1,20260717T101837-7223cc0c:A1,A051,20260717T101837-7223cc0c,269,0.5,gt0p50,0.0,0.0,0.12480958302815758,4,0.09360718727111816
20260717T101837-7223cc0c:A1,20260717T101837-7223cc0c:A1,A051,20260717T101837-7223cc0c,270,0.1,0p10-0p20,0.0,0.0,0.22061387697855633,5,0.1323683261871338
20260717T101837-7223cc0c:A1,20260717T101837-7223cc0c:A1,A051,20260717T101837-7223cc0c,270,0.2,0p20-0p30,0.0,0.0,0.22061387697855633,5,0.1323683261871338
20260717T101837-7223cc0c:A1,20260717T101837-7223cc0c:A1,A051,20260717T101837-7223cc0c,270,0.3,0p30-0p40,0.0,0.0,0.22061387697855633,5,0.1323683261871338
20260717T101837-7223cc0c:A1,20260717T101837-7223cc0c:A1,A051,20260717T101837-7223cc0c,270,0.4,0p40-0p50,0.0,0.0,0.22061387697855633,5,0.1323683261871338
20260717T101837-7223cc0c:A1,20260717T101837-7223cc0c:A1,A051,20260717T101837-7223cc0c,270,0.5,gt0p50,0.0,0.0,0.22061387697855633,5,0.1323683261871338
20260717T101837-7223cc0c:A1,20260717T101837-7223cc0c:A1,A051,20260717T101837-7223cc0c,271,0.1,0p10-0p20,0.0,0.0,0.33508110046386724,6,0.1675405502319336
20260717T101837-7223cc0c:A1,20260717T101837-7223cc0c:A1,A051,20260717T101837-7223cc0c,271,0.2,0p20-0p30,0.0,0.0,0.33508110046386724,6,0.1675405502319336
20260717T101837-7223cc0c:A1,20260717T101837-7223cc0c:A1,A051,20260717T101837-7223cc0c,271,0.3,0p30-0p40,0.0,0.0,0.33508110046386724,6,0.1675405502319336
20260717T101837-7223cc0c:A1,20260717T101837-7223cc0c:A1,A051,20260717T101837-7223cc0c,271,0.4,0p40-0p50,0.0,0.0,0.33508110046386724,6,0.1675405502319336
20260717T101837-7223cc0c:A1,20260717T101837-7223cc0c:A1,A051,20260717T101837-7223cc0c,271,0.5,gt0p50,0.0,0.0,0.33508110046386724,6,0.1675405502319336
20260717T101837-7223cc0c:A1,20260717T101837-7223cc0c:A1,A051,20260717T101837-7223cc0c,272,0.1,0p10-0p20,0.0,0.0,0.4541253248850505,7,0.1946251392364502
20260717T101837-7223cc0c:A1,20260717T101837-7223cc0c:A1,A051,20260717T101837-7223cc0c,272,0.2,0p20-0p30,0.0,0.0,0.4541253248850505,7,0.1946251392364502
20260717T101837-7223cc0c:A1,20260717T101837-7223cc0c:A1,A051,20260717T101837-7223cc0c,272,0.3,0p30-0p40,0.0,0.0,0.4541253248850505,7,0.1946251392364502
20260717T101837-7223cc0c:A1,20260717T101837-7223cc0c:A1,A051,20260717T101837-7223cc0c,272,0.4,0p40-0p50,0.0,0.0,0.4541253248850505,7,0.1946251392364502
20260717T101837-7223cc0c:A1,20260717T101837-7223cc0c:A1,A051,20260717T101837-7223cc0c,272,0.5,gt0p50,0.0,0.0,0.4541253248850505,7,0.1946251392364502
20260717T101837-7223cc0c:A1,20260717T101837-7223cc0c:A1,A051,20260717T101837-7223cc0c,273,0.1,0p10-0p20,0.0,0.0,0.6202106475830078,8,0.23257899284362793
20260717T101837-7223cc0c:A1,20260717T101837-7223cc0c:A1,A051,20260717T101837-7223cc0c,273,0.2,0p20-0p30,0.0,0.0,0.6202106475830078,8,0.23257899284362793
20260717T101837-7223cc0c:A1,20260717T101837-7223cc0c:A1,A051,20260717T101837-7223cc0c,273,0.3,0p30-0p40,0.0,0.0,0.6202106475830078,8,0.23257899284362793
20260717T101837-7223cc0c:A1,20260717T101837-7223cc0c:A1,A051,20260717T101837-7223cc0c,273,0.4,0p40-0p50,0.0,0.0,0.6202106475830078,8,0.23257899284362793
20260717T101837-7223cc0c:A1,20260717T101837-7223cc0c:A1,A051,20260717T101837-7223cc0c,273,0.5,gt0p50,0.0,0.0,0.6202106475830078,8,0.23257899284362793
20260717T101837-7223cc0c:A1,20260717T101837-7223cc0c:A1,A051,20260717T101837-7223cc0c,274,0.1,0p10-0p20,0.0,0.0,0.7931542396545411,9,0.26438474655151367
20260717T101837-7223cc0c:A1,20260717T101837-7223cc0c:A1,A051,20260717T101837-7223cc0c,274,0.2,0p20-0p30,0.0,0.0,0.7931542396545411,9,0.26438474655151367
20260717T101837-7223cc0c:A1,20260717T101837-7223cc0c:A1,A051,20260717T101837-7223cc0c,274,0.3,0p30-0p40,0.0,0.0,0.7931542396545411,9,0.26438474655151367
20260717T101837-7223cc0c:A1,20260717T101837-7223cc0c:A1,A051,20260717T101837-7223cc0c,274,0.4,0p40-0p50,0.0,0.0,0.7931542396545411,9,0.26438474655151367
20260717T101837-7223cc0c:A1,20260717T101837-7223cc0c:A1,A051,20260717T101837-7223cc0c,274,0.5,gt0p50,0.0,0.0,0.7931542396545411,9,0.26438474655151367
20260717T101837-7223cc0c:A1,20260717T101837-7223cc0c:A1,A051,20260717T101837-7223cc0c,275,0.1,0p10-0p20,0.0,0.0,1.0,10,0.31089305877685547
20260717T101837-7223cc0c:A1,20260717T101837-7223cc0c:A1,A051,20260717T101837-7223cc0c,275,0.2,0p20-0p30,0.0,0.0,1.0,10,0.31089305877685547
20260717T101837-7223cc0c:A1,20260717T101837-7223cc0c:A1,A051,20260717T101837-7223cc0c,275,0.3,0p30-0p40,0.0,0.0,1.0,10,0.31089305877685547
20260717T101837-7223cc0c:A1,20260717T101837-7223cc0c:A1,A051,20260717T101837-7223cc0c,275,0.4,0p40-0p50,0.0,0.0,1.0,10,0.31089305877685547
20260717T101837-7223cc0c:A1,20260717T101837-7223cc0c:A1,A051,20260717T101837-7223cc0c,275,0.5,gt0p50,0.0,0.0,1.0,10,0.31089305877685547
20260717T101837-7223cc0c:A1,20260717T101837-7223cc0c:A1,A051,20260717T101837-7223cc0c,276,0.1,0p10-0p20,0.0,0.0,1.0,11,0.3266463279724121
20260717T101837-7223cc0c:A1,20260717T101837-7223cc0c:A1,A051,20260717T101837-7223cc0c,276,0.2,0p20-0p30,0.0,0.0,1.0,11,0.3266463279724121
20260717T101837-7223cc0c:A1,20260717T101837-7223cc0c:A1,A051,20260717T101837-7223cc0c,276,0.3,0p30-0p40,0.0,0.0,1.0,11,0.3266463279724121
20260717T101837-7223cc0c:A1,20260717T101837-7223cc0c:A1,A051,20260717T101837-7223cc0c,276,0.4,0p40-0p50,0.0,0.0,1.0,11,0.3266463279724121
20260717T101837-7223cc0c:A1,20260717T101837-7223cc0c:A1,A051,20260717T101837-7223cc0c,276,0.5,gt0p50,0.0,0.0,1.0,11,0.3266463279724121
20260717T101837-7223cc0c:A1,20260717T101837-7223cc0c:A1,A051,20260717T101837-7223cc0c,277,0.1,0p10-0p20,0.0,0.0,1.0,11,0.33318662643432617
