g,tau_s,L_ticks,rows_used,scoring_rows,post_lag_rows,max_horizon_s,max_post_lag_horizon_s,sse,mse,rms_mps,eligible,candidate_type,failing_rule,ineligible_reason
0.0,0.24,5,51,51,45,0.62,0.62,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.26,5,51,51,45,0.62,0.62,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.28,5,51,51,45,0.62,0.62,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.3,5,51,51,45,0.62,0.62,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.32,5,51,51,45,0.62,0.62,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.34,5,51,51,45,0.62,0.62,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.36,5,51,51,45,0.62,0.62,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.38,5,51,51,45,0.62,0.62,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.4,5,51,51,45,0.62,0.62,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.42,5,51,51,45,0.62,0.62,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.44,5,51,51,45,0.62,0.62,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.46,5,51,51,45,0.62,0.62,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.48,5,51,51,45,0.62,0.62,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.5,5,51,51,45,0.62,0.62,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.52,5,51,51,45,0.62,0.62,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.54,5,51,51,45,0.62,0.62,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.56,5,51,51,45,0.62,0.62,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.58,5,51,51,45,0.62,0.62,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.6,5,51,51,45,0.62,0.62,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.62,5,51,51,45,0.62,0.62,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.02,6,51,51,43,0.6,0.6,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.04,6,51,51,43,0.6,0.6,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.06,6,51,51,43,0.6,0.6,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.08,6,51,51,43,0.6,0.6,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.1,6,51,51,43,0.6,0.6,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.12,6,51,51,43,0.6,0.6,0.0,0.0,0.0,True,ELIGIBLE,,
