series,config,run,fixture_dir,flight_id,line_no,detection_mono_ns,state_mono_ns,state_detection_dt_s,range_m,true_world_dz_m,center_px_x,center_px_y,cert_status
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,1803,406211923893700,406211922699900,0.001194,6.327994,1.081920,318.000000,201.000000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,1817,406211962040100,406211943045200,0.018995,6.224673,0.916554,316.250000,189.500000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,1830,406211990915800,406211982683500,0.008232,6.262069,1.015905,315.750000,169.000000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,1872,406212099282300,406212083042500,0.016240,6.114612,0.932639,309.500000,112.500000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,1883,406212122595900,406212102788700,0.019807,6.040193,0.971627,311.500000,130.750000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,1898,406212162647300,406212143153300,0.019494,5.915829,0.832527,313.250000,153.000000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,1911,406212191321000,406212183090600,0.008230,5.874471,0.795564,314.500000,177.000000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,1926,406212224700400,406212222889700,0.001811,5.865271,0.638885,312.250000,197.000000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,1938,406212254286600,406212242724400,0.011562,5.541131,0.734218,317.250000,217.250000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,1952,406212289085300,406212282681900,0.006403,5.550134,0.648134,313.500000,231.500000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,1968,406212324572700,406212322989600,0.001583,5.820189,0.735379,313.000000,247.500000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,1980,406212356120100,406212342901700,0.013218,5.833053,0.855313,313.000000,260.750000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,1993,406212388512200,406212382975100,0.005537,5.819072,0.747121,313.250000,271.000000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,2009,406212424052200,406212422681800,0.001370,5.749753,0.808963,313.000000,279.500000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,2021,406212457372400,406212442991700,0.014381,5.497620,0.725379,310.500000,281.250000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,2035,406212490219000,406212482913800,0.007305,5.592948,0.738205,313.000000,280.250000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,2051,406212529134400,406212522876400,0.006258,5.467982,0.663257,310.500000,287.250000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,2062,406212553762400,406212543264000,0.010498,5.482088,0.719535,310.250000,294.250000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,2078,406212592137600,406212583029300,0.009108,5.505918,0.748735,312.000000,305.500000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,2093,406212624263400,406212622685600,0.001578,5.483664,0.696011,312.000000,308.500000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,2105,406212660844300,406212642963600,0.017881,5.337641,0.688333,311.500000,309.750000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,2119,406212691637300,406212682700400,0.008937,5.435334,0.734216,310.500000,310.250000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,2133,406212725364800,406212722729300,0.002635,5.201794,0.694648,308.000000,310.000000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,2145,406212756250600,406212742741900,0.013509,5.367974,0.721551,308.250000,310.250000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,2161,406212796719500,406212782827600,0.013892,5.348484,0.733799,308.000000,311.250000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,2171,406212818068200,406212802723000,0.015345,5.174840,0.846755,307.000000,312.500000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,2188,406212856488200,406212842703700,0.013784,5.255720,0.778208,308.250000,310.000000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,2202,406212892344600,406212883046900,0.009298,5.053692,0.932619,307.500000,304.500000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,2217,406212924152600,406212922839000,0.001314,5.175094,0.996290,308.000000,304.500000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,2229,406212956042500,406212942957400,0.013085,5.079177,0.995335,308.000000,304.250000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,2242,406212988404800,406212982901600,0.005503,5.043673,0.976157,307.000000,302.500000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,2259,406213028556400,406213022698100,0.005858,5.036889,0.878338,308.750000,305.750000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,2272,406213056467400,406213042999300,0.013468,4.951444,0.981181,306.750000,309.250000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,2286,406213088352600,406213082981400,0.005371,5.011124,0.833674,306.500000,311.500000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,2301,406213125192100,406213123243100,0.001949,4.839108,1.287484,308.500000,301.750000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,2312,406213155096700,406213143068300,0.012028,4.791797,1.038479,311.500000,274.500000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,2327,406213191821400,406213183326800,0.008495,4.928228,1.085079,311.500000,272.000000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,2343,406213229009900,406213222937800,0.006072,4.827866,1.069709,313.000000,276.750000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,2353,406213257090700,406213243239300,0.013851,4.844536,1.055524,313.500000,280.000000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,2368,406213291144100,406213282810500,0.008334,4.773153,1.050181,313.750000,282.000000,certified
