phase,flight_id,attempt_n,closest_dist_m,t_closest_s,miss_lateral_m,miss_vertical_cam_ty,miss_vertical_phantom_dz,miss_vertical_true_dz,phantom_delta_m,old_label,true_label,reattributed,level_pitch,gate_rel_age_s,ended_retreat,gates_passed,result
20260716T145727,20260716T143604-927a4c97,2,0.13631414365889225,31.2903367,-0.13162663662820823,0.03527961902860331,0.059187142121218006,0.04854461052617312,0.010642531595044885,CENTERED,CENTERED,same,-0.31070620707831004,0.867333576,True,0,environment collision (impulse=3.7)
20260716T145727,20260716T143739-927a4c97,1,0.0934368894459485,26.6866172,-0.08226785991983977,0.039006898615790805,0.04998517081390576,0.04133003157895632,0.008655139234949441,CENTERED,CENTERED,same,-0.31069023517911576,1.087306312,True,0,environment collision (impulse=4.0)
20260716T145727,20260716T143739-927a4c97,2,2.116602811419588,31.2266207,-0.21970657960839166,-0.8401181998421504,0.650626096446422,0.7583896747790142,-0.1077635783325922,LOW,HIGH,LOW->HIGH,-0.31069023517911576,1.482835272,False,0,environment collision (impulse=4.0)
20260716T145727,20260716T143915-927a4c97,1,0.5708107405935128,25.5863875,-0.3393350910937149,0.16854930256482017,0.257198907530776,0.3765468521498391,-0.11934794461906306,HIGH,HIGH,same,-0.31066199658629606,1.457948088,True,0,environment collision (impulse=13.4)
20260716T154946,20260716T153120-927a4c97,1,2.7176658140883543,24.8982232,-0.36618189654664485,0.1615769037177137,0.19055290989159338,1.0099636280287654,-0.819410718137172,HIGH,HIGH,same,-0.3106630576045203,1.275348216,False,0,environment collision (impulse=4.0)
20260716T154946,20260716T153853-927a4c97,1,0.0616963671027494,26.1660947,-0.016922122763414302,0.05932613608854655,0.059903208232754586,0.05535415658989768,0.004549051642856905,CENTERED,CENTERED,same,-0.3106679065381365,0.885896648,True,0,environment collision (impulse=5.0)
20260716T154946,20260716T153853-927a4c97,2,1.26521065647058,28.9660857,0.21873631887047323,-0.6121034821686393,-0.65543920634757,-0.34542911724509506,-0.31001008910247496,LOW,LOW,same,-0.3106679065381365,0.11197748,True,0,environment collision (impulse=5.0)
20260716T154946,20260716T153853-927a4c97,3,3.3531827828791,31.2062694,0.13960247479054147,0.06727347909417145,0.7195101372006655,1.686197403579198,-0.9666872663785325,CENTERED,HIGH,CENTERED->HIGH,-0.3106679065381365,1.482310712,False,0,environment collision (impulse=5.0)
20260716T174215,20260716T164931-927a4c97,1,0.163812774688702,49.3233702,-0.017105933638947562,0.1345635972345025,0.14213974779862176,0.15825815863801326,-0.0161184108393915,CENTERED,HIGH,CENTERED->HIGH,-0.31069925903652906,1.495078792,True,0,environment collision (impulse=11.5)
20260716T174215,20260716T165306-927a4c97,1,0.03450142988516941,49.7216853,0.02592346981544148,-0.01443065926877422,-0.014444234953918044,-0.01839519428302006,0.003950959329102015,CENTERED,CENTERED,same,-0.31066305762393265,0.679599008,True,0,environment collision (impulse=9.6)
20260716T174215,20260716T165535-927a4c97,1,0.06174039453165481,49.7833535,-0.023922030372309798,0.056854571785742714,0.05675745280080296,0.0515782796637129,0.005179173137090057,CENTERED,CENTERED,same,-0.31069876647988615,1.0602176,True,0,environment collision (impulse=3.4)
20260716T212744,20260716T203450-2ca531c3,1,0.030753529518360436,7.7649991,-0.016232167343025197,0.024957294648551145,0.026239077055313975,0.026673668768520443,-0.00043459171320646764,CENTERED,CENTERED,same,-0.3106742859234302,0.492724432,True,0,environment collision (impulse=3.3)
20260716T212744,20260716T212408-2ca531c3,1,1.9781088268446971,7.5228559,0.07667004096323068,0.27688511931080306,0.2050285811504968,0.7937249585608811,-0.5886963774103843,HIGH,HIGH,same,-0.3106966376183462,0.943670488,False,0,environment collision (impulse=3.7)
20260717T092008,20260717T090941-debf3ec1,1,0.04076349410133332,7.8430204,-0.0027083929743971944,0.03192388021931416,0.02758966831224047,0.017340043777935448,0.010249624534305023,CENTERED,CENTERED,same,-0.3107115488669468,1.280750744,True,0,environment collision (impulse=2.6)
20260717T092008,20260717T091107-debf3ec1,1,0.3103637400226387,8.125343,0.10057219812141649,0.06630583106286352,0.13090144072968304,0.20501393980155025,-0.0741124990718672,CENTERED,HIGH,CENTERED->HIGH,-0.310656162487617,1.17896644,True,0,environment collision (impulse=13.6)
20260717T092008,20260717T091107-debf3ec1,2,3.5061872059248897,11.9255532,-1.676042566358624,-2.187892854468317,-1.4244299694335987,-1.9904928950151937,0.566062925581595,LOW,LOW,same,-0.310656162487617,1.21248532,False,0,environment collision (impulse=13.6)
20260717T092008,20260717T091239-debf3ec1,1,0.6874427260126161,8.2641308,-0.09280566884093445,-0.10689690748561764,0.03582379844017238,0.22791228495457594,-0.19208848651440355,CENTERED,HIGH,CENTERED->HIGH,-0.3107232232089282,0.094553312,True,0,environment collision (impulse=30.5)
20260717T100347,20260717T095722-a560c093,1,0.4849260775858523,7.6632263,0.015962485079990294,0.08173252919111551,0.13302568543515222,0.26922151458089316,-0.13619582914574094,CENTERED,HIGH,CENTERED->HIGH,-0.31070039571803165,0.78478048,True,0,environment collision (impulse=1.4)
20260717T100347,20260717T095722-a560c093,2,0.9704353754143438,12.4031037,-0.06696902667757341,0.15146050243351158,0.2822918342255572,0.42325698804075707,-0.14096515381519986,HIGH,HIGH,same,-0.31070039571803165,0.973196832,True,0,environment collision (impulse=1.4)
20260717T100347,20260717T095851-a560c093,1,0.8448936538673332,7.6209843,0.015723656331828872,0.01789897742179557,0.14877792972341997,0.3884288677641109,-0.23965093804069093,CENTERED,HIGH,CENTERED->HIGH,-0.31072749721018456,1.208940808,True,0,environment collision (impulse=3.7)
20260717T100347,20260717T100017-a560c093,1,0.057276914761926166,7.9050299,-0.018839217170825966,0.04963453315320827,0.047529264553522695,0.03592805036100575,0.011601214192516945,CENTERED,CENTERED,same,-0.3106843943584991,1.197264424,True,0,environment collision (impulse=11.0)
20260717T102447,20260717T101837-7223cc0c,1,0.13966756455105248,8.9838363,0.10422810843110053,0.09272422336329299,0.10743821840507825,0.1120065413856852,-0.0045683229806069425,CENTERED,CENTERED,same,-0.3106998275622102,1.041795168,True,0,environment collision (impulse=4.7)
20260717T102447,20260717T102007-7223cc0c,1,0.06601776350408291,7.6642083,0.005483302062643075,0.056507343282195456,0.05104797517320742,0.03618149357153951,0.01486648160166791,CENTERED,CENTERED,same,-0.3107157996250385,1.23161176,True,0,environment collision (impulse=3.9)
20260717T102447,20260717T102007-7223cc0c,2,1.2431711702233292,12.184609,0.37724220842938566,-0.8844180912178683,-0.7229069298616546,-0.9092853392870316,0.18637840942537698,LOW,LOW,same,-0.3107157996250385,0.180998528,True,0,environment collision (impulse=3.9)
20260717T102447,20260717T102132-7223cc0c,1,1.1439560709393566,7.6627285,0.055599441299102825,0.14364656233969553,0.2578296438592153,0.5830147052053174,-0.3251850613461021,CENTERED,HIGH,CENTERED->HIGH,-0.31067747605924106,1.183305624,True,0,environment collision (impulse=4.8)
20260717T102447,20260717T102132-7223cc0c,3,1.212900255580642,17.1425524,0.033635756637657846,-0.8680003895975515,-0.8445908711554673,-0.9342302582061643,0.08963938705069707,LOW,LOW,same,-0.31067747605924106,0.66471204,True,0,environment collision (impulse=4.8)
20260717T143144,20260717T142306-7223cc0c,1,0.06875116601886012,7.9442387,0.06352642184602458,0.02465808650380901,0.034683775681158845,0.03192980397193117,0.0027539717092276775,CENTERED,CENTERED,same,-0.3106998275789803,1.10256096,True,0,environment collision (impulse=4.1)
20260717T143144,20260717T142306-7223cc0c,2,3.0387776336073373,11.2042481,0.8790681849609777,0.9338720224083662,1.7873943633307103,2.084701607962346,-0.2973072446316358,HIGH,HIGH,same,-0.3106998275789803,0.64802512,False,0,environment collision (impulse=4.1)
20260717T143144,20260717T142426-7223cc0c,1,0.043947958406413704,7.2223866,-0.03692263772771747,0.007763152989791657,0.010185243491580611,0.003675885099537566,0.006509358392043045,CENTERED,CENTERED,same,-0.31069397028536183,1.008247752,True,0,environment collision (impulse=5.6)
20260717T143144,20260717T142546-7223cc0c,1,0.04912238727758401,7.7246443,0.03426329984274495,0.034139766297106036,0.03749652595931917,0.03922980570516023,-0.0017332797458410598,CENTERED,CENTERED,same,-0.3106929027038715,1.365125976,True,0,environment collision (impulse=3.4)
20260717T152216,20260717T151002-a9753343,1,0.03905278153018183,7.9044602,-0.010874678470739493,0.02511828244169177,0.029044238165951412,0.03474945657828367,-0.005705218412332257,CENTERED,CENTERED,same,-0.3106944623724555,0.927060544,True,0,environment collision (impulse=6.6)
20260717T152216,20260717T151126-a9753343,1,0.09433967827924068,8.2451058,-0.07998283022457832,0.04902229677453849,0.06252519941325466,0.053035997099395285,0.009489202313859371,CENTERED,CENTERED,same,-0.31070516910104967,1.057203512,True,0,environment collision (impulse=7.9)
20260717T152216,20260717T151254-e179e097,1,0.07552587890227556,7.9453953,0.05734723119142126,0.04013831533763647,0.053614637771478776,0.05426782520406578,-0.0006531874325870005,CENTERED,CENTERED,same,-0.3106715427244215,1.014559392,True,0,environment collision (impulse=1.1)
20260717T152216,20260717T151254-e179e097,2,1.9173802441425916,10.4862463,-0.13105133461318832,-0.5509862948805972,0.06723481629702355,0.6483086592189465,-0.581073842921923,LOW,HIGH,LOW->HIGH,-0.3106715427244215,1.219804344,False,0,environment collision (impulse=1.1)
20260717T152216,20260717T151717-e179e097,1,0.024927387698968594,8.4443177,0.007001315093722975,0.023757284138792308,0.02297020045642239,0.019491216963445492,0.003478983492976897,CENTERED,CENTERED,same,-0.3106923572141925,0.478019096,True,0,environment collision (impulse=1.6)
20260717T152216,20260717T151717-e179e097,2,4.330587308599668,13.6241839,-0.24976175824435445,-1.097041837137842,0.44590940529658063,1.7406806985608652,-1.2947712932642845,LOW,HIGH,LOW->HIGH,-0.3106923572141925,1.47716796,False,0,environment collision (impulse=1.6)
20260717T154500,20260717T153048-927a4c97,1,0.025390075611387508,8.3648123,-0.01461939291638996,0.019355252391732372,0.01833837775403897,0.01363718954221615,0.00470118821182282,CENTERED,CENTERED,same,-0.310707790416165,1.167730256,True,0,environment collision (impulse=2.4)
20260717T154500,20260717T153307-927a4c97,1,0.766486781313263,7.6851793,0.07834350975521842,0.3373279210104377,0.3699366609438709,0.5573349374384654,-0.1873982764945945,HIGH,HIGH,same,-0.3106908036360269,1.479787416,True,0,environment collision (impulse=1.0)
20260719T080320,20260719T080255-fab49fbf,1,3.3523320417696945,15.0851337,0.015339305224813608,-1.3643716425591568,-0.40529825155762383,-1.3223064252721985,0.9170081737145748,LOW,LOW,same,-0.3106998275500889,0.086733472,False,0,environment collision (impulse=9.1)
