flight_id,attempt_n,t_closest_s,t_lastfix_s,R_closest_m,R_lastfix_m,phantom_dz,true_dz,gap_height_believed_minus_true,age_s,old_label,true_label
20260716T134842-927a4c97,1,26.9346816,26.9473654,0.3065569817099087,2.0979841692519754,-0.8390510165552852,-0.493606684296053,0.34544433225923227,1.181861128,HIGH,HIGH
20260716T134842-927a4c97,2,28.6352274,28.2895239,1.2723026644704833,2.414275634232276,-0.6689587689082245,-0.6113504886189907,0.057608280289233815,0.348466968,LOW,LOW
20260716T134842-927a4c97,3,33.535027,32.9899097,1.185362048221553,3.1661501170588537,-1.9565404330596319,-1.1483505610690794,0.8081898719905525,0.555028352,LOW,LOW
20260716T143604-927a4c97,1,26.0905002,24.8426164,0.3886598907220732,4.390446351538971,1.343033226808537,2.5482395243503815,1.2052062975418445,1.264278528,CENTERED,HIGH
20260716T143604-927a4c97,2,31.2903367,24.8426164,0.13631414365889225,4.390446351538971,1.343033226808537,2.5482395243503815,1.2052062975418445,0.867333576,CENTERED,CENTERED
20260716T143739-927a4c97,1,26.6866172,25.6132477,0.0934368894459485,3.3466255533912244,0.6143298929508076,1.5891079927578406,0.974778099807033,1.087306312,CENTERED,CENTERED
20260716T143739-927a4c97,2,31.2266207,29.9159858,2.116602811419588,1.9233013764937665,-1.3768309803307788,-0.9013485222974439,0.4754824580333349,1.482835272,LOW,HIGH
20260716T143915-927a4c97,1,25.5863875,24.1309515,0.5708107405935128,4.819119581261571,-0.3060991943557397,1.1681058800632351,1.4742050744189747,1.457948088,HIGH,HIGH
20260716T143604-927a4c97,1,26.0905002,24.8426164,0.3886598907220732,4.390446351538971,1.343033226808537,2.5482395243503815,1.2052062975418445,1.264278528,CENTERED,HIGH
20260716T143604-927a4c97,2,31.2903367,24.8426164,0.13631414365889225,4.390446351538971,1.343033226808537,2.5482395243503815,1.2052062975418445,0.867333576,CENTERED,CENTERED
20260716T143739-927a4c97,1,26.6866172,25.6132477,0.0934368894459485,3.3466255533912244,0.6143298929508076,1.5891079927578406,0.974778099807033,1.087306312,CENTERED,CENTERED
20260716T143739-927a4c97,2,31.2266207,29.9159858,2.116602811419588,1.9233013764937665,-1.3768309803307788,-0.9013485222974439,0.4754824580333349,1.482835272,LOW,HIGH
20260716T143915-927a4c97,1,25.5863875,24.1309515,0.5708107405935128,4.819119581261571,-0.3060991943557397,1.1681058800632351,1.4742050744189747,1.457948088,HIGH,HIGH
20260716T153120-927a4c97,1,24.8982232,24.8982232,2.7176658140883543,2.7176658140883543,0.19055290989159338,1.0099636280287654,0.819410718137172,1.275348216,HIGH,HIGH
20260716T153853-927a4c97,1,26.1660947,25.2969296,0.0616963671027494,2.7017196361623927,0.16277286420791254,0.9371711411144636,0.7743982769065512,0.885896648,CENTERED,CENTERED
20260716T153853-927a4c97,2,28.9660857,28.8513327,1.26521065647058,1.653365739527311,-0.9140053368476457,-0.530330027302099,0.38367530954554674,0.11197748,LOW,LOW
20260716T153853-927a4c97,3,31.2062694,30.051387,3.3531827828791,2.0266957558968755,0.3641566099147705,0.8854716474814132,0.5213150375666427,1.482310712,CENTERED,HIGH
20260716T164931-927a4c97,1,49.3233702,47.8372778,0.163812774688702,4.747510206866921,2.6408354701311794,3.702375591385832,1.0615401212546525,1.495078792,CENTERED,HIGH
