flight_id,frame_id,feature_ts_ns,mono_ns,mapped_tick,tick_mismatch_ns,t_rel_setpoint_grid_s,e_meas_m,range_z_m,v_full_raw_mps,full_history_n,full_history_span_s,input_validity,level_pitch_rad,level_roll_rad
20260719T201851-50f9dcc8,290,1784492338547137500,169008657630500,304,1069100,6.08,-0.45,3.013716260384588,-0.0,15,0.4720125198364258,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,291,1784492338575118800,169008687474100,305,8774500,6.1000000000000005,-0.45,2.9682008759196608,-0.0,16,0.49999380111694336,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,294,1784492338678995800,169008788601800,310,9902200,6.2,-0.45,2.4855658517835533,-0.0,14,0.4993112087249756,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,295,1784492338713860400,169008824400800,312,5701200,6.24,-0.45,2.5347025393839324,-0.0,13,0.4721343517303467,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,296,1784492338741669400,169008854187900,314,4511700,6.28,-0.45,2.549722304733188,-0.0,14,0.49994349479675293,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,297,1784492338776362600,169008886848200,315,8148600,6.3,-0.45,2.4820796959408575,-0.0,14,0.4999823570251465,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,298,1784492338810915200,169008921290000,317,2590400,6.34,-0.45,2.453789565690327,-0.0,14,0.4998044967651367,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,299,1784492338845719700,169008955517000,319,3182600,6.38,-0.45,2.4221829171528055,-0.0,14,0.49997615814208984,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,301,1784492338908125900,169009019975400,322,1275800,6.44,-0.45,2.350909378177712,-0.0,13,0.49955105781555176,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,302,1784492338942988400,169009054162100,324,4537500,6.48,-0.45,2.360039073618696,-0.0,12,0.4651370048522949,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,303,1784492338977627300,169009086658700,325,7959100,6.5,-0.45,2.3039204113015956,-0.0,13,0.49977588653564453,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,304,1784492339012412500,169009122728700,327,4029100,6.54,-0.45,2.2229525210106056,-0.0,12,0.4652748107910156,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,305,1784492339047335800,169009159138400,329,438800,6.58,-0.45,2.1552983633694747,-0.0,12,0.4722168445587158,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,306,1784492339075412000,169009187708200,330,9008600,6.6000000000000005,-0.45,2.0819080366091516,-0.0,12,0.39641642570495605,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,307,1784492339109460000,169009219360900,332,661300,6.640000000000001,-0.45,2.0324473521435866,-0.0,13,0.4304642677307129,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,308,1784492339144926600,169009254242300,334,4457300,6.68,-0.45,1.9388780568960158,-0.0,14,0.4659311771392822,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,309,1784492339179547100,169009290372100,336,8327500,6.72,-0.45,1.8446245029045305,-0.0,14,0.4656867980957031,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,310,1784492339213677500,169009324965600,337,6266000,6.74,-0.45,1.7654946938982303,-0.0,15,0.4998173713684082,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,311,1784492339241378800,169009354309900,339,4389700,6.78,-0.45,1.715484479935911,-0.0,15,0.4997093677520752,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,312,1784492339276071100,169009386516800,340,7817200,6.8,-0.40913566493568826,1.5979612740538265,-0.0,15,0.4997086524963379,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,313,1784492339311109200,169009421245300,342,2545700,6.84,-0.4044994646635328,1.4694710908491615,-0.0,14,0.4653892517089844,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,314,1784492339345678500,169009456142800,344,2556800,6.88,-0.3568618961010103,1.3850133868307322,-0.0,15,0.49995875358581543,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,315,1784492339380359300,169009494346900,346,4352700,6.92,-0.3232203044904954,1.3271587416031214,-0.0,15,0.47223353385925293,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,316,1784492339407895500,169009523011900,347,4312300,6.94,-0.24491759983445904,1.2677735845134732,-0.13438003259269704,16,0.4997696876525879,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,317,1784492339442871600,169009551989400,349,6710200,6.98,-0.21727889165352687,1.2139706654873417,-0.26342818175106575,16,0.49988317489624023,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,318,1784492339477402400,169009586669400,350,7969800,7.0,-0.20851966911705316,1.1292388301472043,-0.4195510918435671,16,0.4997751712799072,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,319,1784492339512175900,169009621325000,352,2625400,7.04,-0.19243543235992103,1.0461905435399257,-0.539565586412345,16,0.49976348876953125,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,354,1784492340678674300,169010787854100,410,9154500,8.2,-0.45,-1.5607430934911513,,1,0.0,ABSENT_RESPONSE,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,355,1784492340707675400,169010817365200,412,1334400,8.24,-0.45,-1.688947256360587,,2,0.0,ABSENT_RESPONSE,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,356,1784492340741326600,169010850788700,414,7910900,8.28,-0.45,-1.7649587961904083,,3,0.0,ABSENT_RESPONSE,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,357,1784492340775941200,169010891236000,416,7463600,8.32,-0.45,-1.9304488484171225,-0.0,4,0.09726691246032715,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,358,1784492340810794200,169010920701600,417,2002000,8.34,-0.45,-1.989144985414507,-0.0,5,0.13212013244628906,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,359,1784492340843093800,169010947136600,418,8437000,8.36,-0.45,-2.0956064543262523,-0.0,6,0.16441965103149414,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,360,1784492340880205200,169010989890800,421,8808800,8.42,-0.45,-2.2169167073196547,-0.0,7,0.20153117179870605,VALID,-0.3106987661062333,0.00025650874109527094
