series,label,config,run,flight_id,fixture,sample_kind,is_grinding_flight,mono_ns,collision_id,collision_kind,threat_level,impulse,planner_phase,v_body,v_body_x,v_body_y,v_body_z,gate_index_proxy,det_age_s,det_cert,range_z_m,tx_m,ty_cam_m,true_world_dz_m,center_x_px,center_y_px,hit_class,abort_reason,env_hits_total,gate_clips_total,gates_passed,duration_s
r1d,r1d-B-run5,B,5,20260722T055157-1d8b4339,20260722T055214-raceprep-r1d-B-run5,abort_collision,False,376197154069300,1002,environment,2,3.5826220512390137,commit,"[1.5683332930121894, -0.5565122643765058, -0.3759309014843764]",1.5683332930121894,-0.5565122643765058,-0.3759309014843764,0,0.0116236,certified,3.2808950240009565,-0.5270887810559951,-1.4897443578847203,0.2673636485271407,279.0,210.0,env_NEAR_STRUCTURE_unspecified,environment collision (impulse=3.6),1,0,0,7.168084200005978
r1e,r1e-B-run1,B,1,20260722T123000-f20a8d28,20260722T123016-raceprep-r1e-B-run1,abort_collision,False,400078292826100,1002,environment,2,1.3737475872039795,recover,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0,0.0226271,certified,4.228448336879979,-0.16087378743929892,-1.8605753825870688,-0.2484946370741461,311.25,211.5,env_NEAR_STRUCTURE_unspecified,environment collision (impulse=1.4),3,0,0,5.8640337999677286
r1e,r1e-B-run2,B,2,20260722T123111-f20a8d28,20260722T123138-raceprep-r1e-B-run2,abort_collision,False,400161217650500,1002,environment,2,11.05701732635498,search,"[0.0, 0.0, -0.0]",0.0,0.0,-0.0,0,,,,,,,,,env_NO_GATE_IN_VIEW,environment collision (impulse=11.1),1,0,0,17.245489099994302
r1e,r1e-B-run3,B,3,20260722T123236-f20a8d28,20260722T123255-raceprep-r1e-B-run3,abort_collision,False,400237519008400,1001,gate,1,0.03172812610864639,recover,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0,0.4441025,certified,0.5054484820694813,0.03254606193515938,-0.7395640211301573,-0.49251632445611915,319.5,122.5,gate_BOTTOM_bar,gate clip budget exceeded (11),12,11,0,8.75200550002046
r1e,r1e-B-run4,B,4,20260722T123350-f20a8d28,20260722T123407-raceprep-r1e-B-run4,abort_collision,False,400309695624400,1002,environment,2,1.6115951538085938,recover,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0,0.0196423,none,,,,,,,env_NO_GATE_IN_VIEW,environment collision (impulse=1.6),2,0,0,7.4840018000104465
r1e,r1e-B-run5,B,5,20260722T123501-f20a8d28,20260722T123526-raceprep-r1e-B-run5,abort_collision,False,400389270939500,1002,environment,2,1.0191057920455933,search,"[0.0, 0.0, -0.0]",0.0,0.0,-0.0,0,0.0009111,none,19.792836371631203,-15.620739703001673,-1.1273954749702972,-1.6606244464373263,67.4522291244214,161.77287250716745,env_FAR_STRUCTURE_or_hangar,environment collision (impulse=1.0),1,0,0,15.552004099998157
r1f,r1f-A-run1,A,1,20260722T141216-b1a8389a,20260722T141240-raceprep-r1f-A-run1,abort_collision,False,406222870063600,1002,environment,2,9.561712265014648,approach,"[2.938970334919404, -0.20776918239135753, -0.8499466578435124]",2.938970334919404,-0.20776918239135753,-0.8499466578435124,0,0.0141744,certified,0.481998375160221,-0.01655572043993482,-0.7318549974075339,-0.6400082219855645,345.75,95.25,env_NEAR_gate_LOW_likely_floor_or_bottom,environment collision (impulse=9.6),2,9,0,14.668009500019252
r1f,r1f-B-run2,B,2,20260722T141335-1d8b4339,20260722T141353-raceprep-r1f-B-run2,abort_collision,False,406295512972800,1002,environment,2,4.2374491691589355,search,"[0.0, 0.0, -0.0]",0.0,0.0,-0.0,0,0.1222297,certified,36.47008298965901,18.067670380440877,-0.49333386562346543,9.739252999150676,500.0,351.75,env_FAR_STRUCTURE_or_hangar,environment collision (impulse=4.2),2,0,0,7.484111000027042
r1f,r1f-A-run3,A,3,20260722T141447-b1a8389a,20260722T141508-raceprep-r1f-A-run3,abort_collision,False,406371334112900,1002,environment,2,3.6659231185913086,search,"[0.0, 0.0, -0.0]",0.0,0.0,-0.0,0,0.3008866,none,,,,,,,env_NO_GATE_IN_VIEW,environment collision (impulse=3.7),1,0,0,11.624304900004063
r1f,r1f-B-run4,B,4,20260722T141603-1d8b4339,20260722T141626-raceprep-r1f-B-run4,abort_collision,False,406448646874800,1002,environment,2,2.2782599925994873,approach,"[-1.6987752082848138, -0.15771536531083188, 0.22182293800367792]",-1.6987752082848138,-0.15771536531083188,0.22182293800367792,0,0.3864268,none,-0.5476025780760788,-0.04260039207983699,0.08052144680619963,0.16811957592875812,752.7311776364601,792.54202422868,env_NEAR_gate_LATERAL_likely_pillar_or_side_struct,environment collision (impulse=2.3),1,0,0,12.62833119998686
r1f,r1f-A-run5,A,5,20260722T141720-b1a8389a,20260722T141744-raceprep-r1f-A-run5,abort_collision,False,406527164758900,1001,gate,1,0.07986031472682953,recover,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0,0.0410683,certified,1.2316713642893429,0.4948704384794707,-0.7138329615092044,0.2007935652360338,449.5,179.5,gate_OPENING_or_UNSPECIFIED,gate clip budget exceeded (11),0,11,0,14.260098200000357
r1f,r1f-B-run6,B,6,20260722T141839-1d8b4339,20260722T141901-raceprep-r1f-B-run6,abort_collision,False,406603609446000,1002,environment,2,7.2914252281188965,commit,"[1.0927069360156068, 0.6381053519942893, -0.1813959]",1.0927069360156068,0.6381053519942893,-0.1813959,0,0.0210648,certified,0.9186207602623634,0.2624926713772858,-1.0956337006924821,0.2199433071032565,422.0,94.25,env_NEAR_STRUCTURE_unspecified,environment collision (impulse=7.3),1,1,0,11.996039799996652
r1f,r1f-A-run7,A,7,20260722T141955-b1a8389a,20260722T142016-raceprep-r1f-A-run7,abort_collision,False,406678831895600,1002,environment,2,1.5399420261383057,search,"[0.0, 0.0, -0.0]",0.0,0.0,-0.0,0,0.0042239,none,,,,,,,env_NO_GATE_IN_VIEW,environment collision (impulse=1.5),1,0,0,11.05602210003417
r1f,r1f-A-run9,A,9,20260722T142420-b1a8389a,20260722T142437-raceprep-r1f-A-run9,abort_collision,False,406940338038600,1001,gate,1,0.13244351744651794,recover,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0,0.0058535,none,0.5656608805395708,-0.0007241677540441684,-0.7397473847987573,0.33121816792082215,319.65775716607226,154.12164960902425,gate_OPENING_or_UNSPECIFIED,gate clip budget exceeded (11),0,12,0,8.05600099998992
r1f,r1f-B-run10,B,10,20260722T142532-1d8b4339,20260722T142555-raceprep-r1f-B-run10,abort_collision,False,407018239237800,1002,environment,2,7.339892387390137,approach,"[2.677925651463894, -1.8498537370151618, -0.2836862956487487]",2.677925651463894,-1.8498537370151618,-0.2836862956487487,0,0.0525202,none,8.07283617254283,-3.7677911084081748,1.85647187090047,-1.446467047800736,170.64813295835287,253.5888832612128,env_MID_STRUCTURE_intergate,environment collision (impulse=7.3),1,0,0,13.380053599947132
