flight_id,cohort,source_class,term_status_rows,term_status_owner_term_rows,shadow_owner_term_rows,shadow_up_range_mps,term_status_owner_values,path
20260716T130355-8edfeec4,fixtures/20260716T132549-phase3j-r2training-rerun,none,0,0,0,,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260716T132549-phase3j-r2training-rerun\20260716T130355-8edfeec4-flight.jsonl
20260716T130659-8edfeec4,fixtures/20260716T132549-phase3j-r2training-rerun,none,0,0,0,,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260716T132549-phase3j-r2training-rerun\20260716T130659-8edfeec4-flight.jsonl
20260716T130833-8edfeec4,fixtures/20260716T132549-phase3j-r2training-rerun,none,0,0,0,,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260716T132549-phase3j-r2training-rerun\20260716T130833-8edfeec4-flight.jsonl
20260716T131137-2ca531c3,fixtures/20260716T132549-phase3j-r2training-rerun,none,0,0,0,,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260716T132549-phase3j-r2training-rerun\20260716T131137-2ca531c3-flight.jsonl
20260716T131630-8edfeec4,fixtures/20260716T132549-phase3j-r2training-rerun,none,0,0,0,,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260716T132549-phase3j-r2training-rerun\20260716T131630-8edfeec4-flight.jsonl
20260716T131802-8edfeec4,fixtures/20260716T132549-phase3j-r2training-rerun,none,0,0,0,,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260716T132549-phase3j-r2training-rerun\20260716T131802-8edfeec4-flight.jsonl
20260716T133531-927a4c97,fixtures/20260716T135229-phase4a-r2training-chain,none,0,0,0,,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260716T135229-phase4a-r2training-chain\20260716T133531-927a4c97-flight.jsonl
20260716T133703-927a4c97,fixtures/20260716T135229-phase4a-r2training-chain,none,0,0,0,,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260716T135229-phase4a-r2training-chain\20260716T133703-927a4c97-flight.jsonl
20260716T134309-927a4c97,fixtures/20260716T135229-phase4a-r2training-chain,none,0,0,0,,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260716T135229-phase4a-r2training-chain\20260716T134309-927a4c97-flight.jsonl
20260716T134842-927a4c97,fixtures/20260716T135229-phase4a-r2training-chain,none,0,0,0,,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260716T135229-phase4a-r2training-chain\20260716T134842-927a4c97-flight.jsonl
20260716T143604-927a4c97,fixtures/20260716T144305-phase4b-r2training-chain,none,0,0,0,,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260716T144305-phase4b-r2training-chain\20260716T143604-927a4c97-flight.jsonl
20260716T143739-927a4c97,fixtures/20260716T144305-phase4b-r2training-chain,none,0,0,0,,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260716T144305-phase4b-r2training-chain\20260716T143739-927a4c97-flight.jsonl
20260716T143915-927a4c97,fixtures/20260716T144305-phase4b-r2training-chain,none,0,0,0,,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260716T144305-phase4b-r2training-chain\20260716T143915-927a4c97-flight.jsonl
20260716T143604-927a4c97,fixtures/20260716T145727-phase4b-partial,none,0,0,0,,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260716T145727-phase4b-partial\20260716T143604-927a4c97-flight.jsonl
20260716T143739-927a4c97,fixtures/20260716T145727-phase4b-partial,none,0,0,0,,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260716T145727-phase4b-partial\20260716T143739-927a4c97-flight.jsonl
20260716T143915-927a4c97,fixtures/20260716T145727-phase4b-partial,none,0,0,0,,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260716T145727-phase4b-partial\20260716T143915-927a4c97-flight.jsonl
20260716T150432-a9b6f4bb,fixtures/20260716T151454-phase4b-safemode,none,0,0,0,,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260716T151454-phase4b-safemode\20260716T150432-a9b6f4bb-flight.jsonl
20260716T153120-927a4c97,fixtures/20260716T154946-phase4b-r2training-chain-v2,none,0,0,0,,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260716T154946-phase4b-r2training-chain-v2\20260716T153120-927a4c97-flight.jsonl
20260716T153248-927a4c97,fixtures/20260716T154946-phase4b-r2training-chain-v2,none,0,0,0,,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260716T154946-phase4b-r2training-chain-v2\20260716T153248-927a4c97-flight.jsonl
20260716T153853-927a4c97,fixtures/20260716T154946-phase4b-r2training-chain-v2,none,0,0,0,,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260716T154946-phase4b-r2training-chain-v2\20260716T153853-927a4c97-flight.jsonl
20260716T154201-927a4c97,fixtures/20260716T154946-phase4b-r2training-chain-v2,none,0,0,0,,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260716T154946-phase4b-r2training-chain-v2\20260716T154201-927a4c97-flight.jsonl
20260716T164931-927a4c97,fixtures/20260716T174215-phase4c-r2training-chain,none,0,0,0,,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260716T174215-phase4c-r2training-chain\20260716T164931-927a4c97-flight.jsonl
20260716T165306-927a4c97,fixtures/20260716T174215-phase4c-r2training-chain,none,0,0,0,,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260716T174215-phase4c-r2training-chain\20260716T165306-927a4c97-flight.jsonl
