source,t_s,frame_id,preceding_range_m,bin_name,detected,det_range_m,reason,red_frac,lap_var,mean_v,touches_edge,n_quads
local_pass_vision/20260716T131137,4.5656466,148,6.138096146601057,5-8m,True,6.138096146601057,ok,0.029930555555555554,4300.415482115173,39.21674479166666,True,1
local_pass_vision/20260716T131137,4.5677908,148,6.138096146601057,5-8m,True,6.138096146601057,ok,0.029930555555555554,4300.415482115173,39.21674479166666,True,1
local_pass_vision/20260716T131137,4.5713023,148,6.138096146601057,5-8m,True,6.138096146601057,ok,0.029930555555555554,4300.415482115173,39.21674479166666,True,1
local_pass_vision/20260716T131137,4.577914,148,6.138096146601057,5-8m,True,6.138096146601057,ok,0.029930555555555554,4300.415482115173,39.21674479166666,True,1
local_pass_vision/20260716T131137,4.584034,148,6.138096146601057,5-8m,True,6.138096146601057,ok,0.029930555555555554,4300.415482115173,39.21674479166666,True,1
local_pass_vision/20260716T131137,4.5884857,148,6.138096146601057,5-8m,True,6.138096146601057,ok,0.029930555555555554,4300.415482115173,39.21674479166666,True,1
local_pass_vision/20260716T131137,4.595596,149,6.138096146601057,5-8m,True,6.143811454554229,ok,0.029969618055555557,4292.879176716952,39.14795572916667,True,1
local_pass_vision/20260716T131137,4.5991587,149,6.143811454554229,5-8m,True,6.143811454554229,ok,0.029969618055555557,4292.879176716952,39.14795572916667,True,1
local_pass_vision/20260716T131137,4.6009153,149,6.143811454554229,5-8m,True,6.143811454554229,ok,0.029969618055555557,4292.879176716952,39.14795572916667,True,1
local_pass_vision/20260716T131137,4.6076897,149,6.143811454554229,5-8m,True,6.143811454554229,ok,0.029969618055555557,4292.879176716952,39.14795572916667,True,1
local_pass_vision/20260716T131137,4.6123002,149,6.143811454554229,5-8m,True,6.143811454554229,ok,0.029969618055555557,4292.879176716952,39.14795572916667,True,1
local_pass_vision/20260716T131137,4.6171872,149,6.143811454554229,5-8m,True,6.143811454554229,ok,0.029969618055555557,4292.879176716952,39.14795572916667,True,1
local_pass_vision/20260716T131137,4.6200595,149,6.143811454554229,5-8m,True,6.143811454554229,ok,0.029969618055555557,4292.879176716952,39.14795572916667,True,1
local_pass_vision/20260716T131137,4.6271448,150,6.143811454554229,5-8m,True,6.178042106550168,ok,0.029796006944444446,4300.239109573911,39.07420138888889,True,1
local_pass_vision/20260716T131137,4.6302684,150,6.178042106550168,5-8m,True,6.178042106550168,ok,0.029796006944444446,4300.239109573911,39.07420138888889,True,1
local_pass_vision/20260716T131137,4.6375978,150,6.178042106550168,5-8m,True,6.178042106550168,ok,0.029796006944444446,4300.239109573911,39.07420138888889,True,1
local_pass_vision/20260716T131137,4.6397952,150,6.178042106550168,5-8m,True,6.178042106550168,ok,0.029796006944444446,4300.239109573911,39.07420138888889,True,1
local_pass_vision/20260716T131137,4.6417174,150,6.178042106550168,5-8m,True,6.178042106550168,ok,0.029796006944444446,4300.239109573911,39.07420138888889,True,1
local_pass_vision/20260716T131137,4.6439433,150,6.178042106550168,5-8m,True,6.178042106550168,ok,0.029796006944444446,4300.239109573911,39.07420138888889,True,1
local_pass_vision/20260716T131137,4.6473349,150,6.178042106550168,5-8m,True,6.178042106550168,ok,0.029796006944444446,4300.239109573911,39.07420138888889,True,1
local_pass_vision/20260716T131137,4.6519053,150,6.178042106550168,5-8m,True,6.178042106550168,ok,0.029796006944444446,4300.239109573911,39.07420138888889,True,1
local_pass_vision/20260716T131137,4.6563179,150,6.178042106550168,5-8m,True,6.178042106550168,ok,0.029796006944444446,4300.239109573911,39.07420138888889,True,1
local_pass_vision/20260716T131137,4.6659769,151,6.178042106550168,5-8m,True,6.143250651651628,ok,0.029947916666666668,4300.174719616851,39.076519097222224,True,1
local_pass_vision/20260716T131137,4.6692682,151,6.143250651651628,5-8m,True,6.143250651651628,ok,0.029947916666666668,4300.174719616851,39.076519097222224,True,1
local_pass_vision/20260716T131137,4.674884,151,6.143250651651628,5-8m,True,6.143250651651628,ok,0.029947916666666668,4300.174719616851,39.076519097222224,True,1
local_pass_vision/20260716T131137,4.6837843,151,6.143250651651628,5-8m,True,6.143250651651628,ok,0.029947916666666668,4300.174719616851,39.076519097222224,True,1
local_pass_vision/20260716T131137,4.6879618,151,6.143250651651628,5-8m,True,6.143250651651628,ok,0.029947916666666668,4300.174719616851,39.076519097222224,True,1
local_pass_vision/20260716T131137,4.6911624,152,6.143250651651628,5-8m,True,6.139584971383432,ok,0.029817708333333335,4294.6096254249105,39.31798611111111,True,1
local_pass_vision/20260716T131137,4.6932396,152,6.139584971383432,5-8m,True,6.139584971383432,ok,0.029817708333333335,4294.6096254249105,39.31798611111111,True,1
local_pass_vision/20260716T131137,4.7023018,152,6.139584971383432,5-8m,True,6.139584971383432,ok,0.029817708333333335,4294.6096254249105,39.31798611111111,True,1
local_pass_vision/20260716T131137,4.7040138,152,6.139584971383432,5-8m,True,6.139584971383432,ok,0.029817708333333335,4294.6096254249105,39.31798611111111,True,1
local_pass_vision/20260716T131137,4.7056579,152,6.139584971383432,5-8m,True,6.139584971383432,ok,0.029817708333333335,4294.6096254249105,39.31798611111111,True,1
local_pass_vision/20260716T131137,4.7081853,152,6.139584971383432,5-8m,True,6.139584971383432,ok,0.029817708333333335,4294.6096254249105,39.31798611111111,True,1
local_pass_vision/20260716T131137,4.7125031,152,6.139584971383432,5-8m,True,6.139584971383432,ok,0.029817708333333335,4294.6096254249105,39.31798611111111,True,1
local_pass_vision/20260716T131137,4.7179207,152,6.139584971383432,5-8m,True,6.139584971383432,ok,0.029817708333333335,4294.6096254249105,39.31798611111111,True,1
local_pass_vision/20260716T131137,4.7240543,153,6.139584971383432,5-8m,True,6.143251149622634,ok,0.029466145833333332,4294.710213916618,40.54149739583333,True,1
local_pass_vision/20260716T131137,4.7255636,153,6.143251149622634,5-8m,True,6.143251149622634,ok,0.029466145833333332,4294.710213916618,40.54149739583333,True,1
local_pass_vision/20260716T131137,4.72737,153,6.143251149622634,5-8m,True,6.143251149622634,ok,0.029466145833333332,4294.710213916618,40.54149739583333,True,1
local_pass_vision/20260716T131137,4.7299755,153,6.143251149622634,5-8m,True,6.143251149622634,ok,0.029466145833333332,4294.710213916618,40.54149739583333,True,1
local_pass_vision/20260716T131137,4.7331672,153,6.143251149622634,5-8m,True,6.143251149622634,ok,0.029466145833333332,4294.710213916618,40.54149739583333,True,1
local_pass_vision/20260716T131137,4.7361927,153,6.143251149622634,5-8m,True,6.143251149622634,ok,0.029466145833333332,4294.710213916618,40.54149739583333,True,1
local_pass_vision/20260716T131137,4.7414801,153,6.143251149622634,5-8m,True,6.143251149622634,ok,0.029466145833333332,4294.710213916618,40.54149739583333,True,1
local_pass_vision/20260716T131137,4.7439382,153,6.143251149622634,5-8m,True,6.143251149622634,ok,0.029466145833333332,4294.710213916618,40.54149739583333,True,1
local_pass_vision/20260716T131137,4.75035,153,6.143251149622634,5-8m,True,6.143251149622634,ok,0.029466145833333332,4294.710213916618,40.54149739583333,True,1
local_pass_vision/20260716T131137,4.7523125,153,6.143251149622634,5-8m,True,6.143251149622634,ok,0.029466145833333332,4294.710213916618,40.54149739583333,True,1
local_pass_vision/20260716T131137,4.7577706,154,6.143251149622634,5-8m,True,6.14127891718615,ok,0.026640625,4224.171278047839,47.51913628472222,False,1
local_pass_vision/20260716T131137,4.7604399,154,6.14127891718615,5-8m,True,6.14127891718615,ok,0.026640625,4224.171278047839,47.51913628472222,False,1
local_pass_vision/20260716T131137,4.7645711,154,6.14127891718615,5-8m,True,6.14127891718615,ok,0.026640625,4224.171278047839,47.51913628472222,False,1
local_pass_vision/20260716T131137,4.7665134,154,6.14127891718615,5-8m,True,6.14127891718615,ok,0.026640625,4224.171278047839,47.51913628472222,False,1
local_pass_vision/20260716T131137,4.7683329,154,6.14127891718615,5-8m,True,6.14127891718615,ok,0.026640625,4224.171278047839,47.51913628472222,False,1
local_pass_vision/20260716T131137,4.7740045,154,6.14127891718615,5-8m,True,6.14127891718615,ok,0.026640625,4224.171278047839,47.51913628472222,False,1
local_pass_vision/20260716T131137,4.7762617,154,6.14127891718615,5-8m,True,6.14127891718615,ok,0.026640625,4224.171278047839,47.51913628472222,False,1
local_pass_vision/20260716T131137,4.7779461,154,6.14127891718615,5-8m,True,6.14127891718615,ok,0.026640625,4224.171278047839,47.51913628472222,False,1
local_pass_vision/20260716T131137,4.7801659,154,6.14127891718615,5-8m,True,6.14127891718615,ok,0.026640625,4224.171278047839,47.51913628472222,False,1
